"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2020,154414992,127829813,5,"C",20,,""
2020,154409817,127829858,44,"C",20,,""
2020,154415074,127829885,45,"C",20,,""
2020,158401391,131365953,23,"C",12,,""
2020,158401547,131366090,14,"C",13,,""
2020,158401603,131366136,11,"C",13,,""
2020,155703112,128962584,5,"C",13,,""
2020,155708470,128971478,51,"C",14,,""
2020,155711429,128971507,5,"C",20,,""
2020,155704387,128963422,21,"C",18,,""
2020,155698429,128963438,51,"C",20,,""
2020,155704506,128968655,7,"C",10,,""
2020,155698730,128963753,21,"C",18,,""
2020,155704792,128968900,5,"C",20,,""
2020,155698756,128963774,15,"C",14,,""
2020,155698758,128963779,23,"C",8,,""
2020,154414782,127829629,23,"A",46,,""
2020,154414788,127829636,39,"C",20,,""
2020,154414828,127829668,44,"C",23,,""
2020,154414832,127829677,29,"C",20,,""
2020,154414841,127829677,27,"C",20,,""
2020,154409709,127829687,44,"C",47,,""
2020,154414854,127829689,14,"C",20,,""
2020,154414879,127829710,44,"C",20,,""
2020,154414883,127829719,23,"C",7,,""
2020,154414891,127829724,2,"C",47,,""
2020,154414899,127829737,5,"C",25,,""
2020,154414939,127824278,51,"C",20,,""
2020,154409759,127824283,16,"C",13,,""
2020,154414945,127829769,21,"C",13,,""
2020,154409769,127829777,16,"C",13,,""
2020,154414967,127829783,27,"C",20,,""
2020,154409776,127829783,39,"C",20,,""
2020,154415008,127824325,5,"C",20,,""
2020,154415030,127824338,45,"C",20,,""
2020,154409821,127829861,49,"C",20,,"F"
2020,154409822,127829866,2,"C",7,,""
2020,154415053,127824349,2,"C",20,,""
2020,154415057,127829872,2,"C",47,,""
2020,154415063,127829878,49,"C",20,,"N"
2020,154409843,127829911,5,"C",18,,""
2020,154409846,127829920,47,"C",20,,""
2020,154409856,127829933,5,"C",14,,""
2020,154415189,127829978,29,"C",20,,""
2020,154409879,127829994,23,"C",21,,""
2020,154409881,127824429,5,"C",38,,""
2020,154415226,127830009,5,"C",20,,""
2020,154409884,127824430,49,"C",10,,"N"
2020,154415243,127830027,27,"C",41,,""
2020,154415255,127830039,14,"C",18,,""
2020,154409912,127824453,14,"C",13,,""
2020,154415315,127824471,23,"C",8,,""
2020,154410977,127825415,27,"C",14,,""
2020,154415893,127825415,5,"C",14,,""
2020,154415917,127825431,5,"C",13,,""
2020,154415915,127825431,51,"C",13,,""
2020,154414898,127829738,2,"C",25,,""
2020,154409746,127829753,27,"C",20,,""
2020,154414929,127829757,45,"C",20,,""
2020,154415103,127829910,23,"C",24,,""
2020,154415256,127824434,51,"C",15,,""
2020,154415277,127824443,5,"C",20,,""
2020,154415312,127824468,45,"C",20,,""
2020,154409940,127824476,47,"C",20,,""
2020,154415875,127825405,49,"C",20,,"F"
2020,154415877,127825405,5,"C",20,,""
2020,154415876,127825405,51,"C",20,,""
2020,154415906,127830668,51,"C",21,,""
2020,154411003,127830682,45,"C",20,,""
2020,154409918,127830085,51,"C",20,,""
2020,155698412,128963426,51,"C",38,,""
2020,154415286,127830074,16,"C",14,,""
2020,154415307,127830095,5,"C",20,,""
2020,154415314,127824473,5,"C",14,,""
2020,154409955,127824487,45,"C",20,,""
2020,154415329,127830121,27,"C",13,,""
2020,154415331,127824491,5,"C",20,,""
2020,154409963,127824496,5,"C",11,,""
2020,154409979,127824515,7,"C",20,,""
2020,154409981,127824516,21,"C",21,,""
2020,154415345,127824517,16,"C",20,,""
2020,155704444,128968592,23,"C",7,,""
2020,155704489,128968642,23,"C",7,,""
2020,155698499,128963506,44,"C",20,,""
2020,155698504,128968657,14,"C",20,,""
2020,155704534,128963532,14,"C",20,,""
2020,155704550,128968695,5,"C",20,,""
2020,155698560,128963566,2,"C",20,,""
2020,155704606,128963574,44,"C",46,,""
2020,155704608,128968740,51,"C",20,,""
2020,155698578,128963588,51,"C",20,,""
2020,155704684,128963651,45,"C",20,,""
2020,155698703,128963727,45,"C",12,,""
2020,154414970,127824306,2,"C",2,,""
2020,154409748,127824277,44,"C",20,,""
2020,154415002,127829822,49,"C",31,,"N"
2020,154415086,127829895,45,"C",33,,""
2020,154409850,127829925,14,"C",13,,""
2020,154415145,127829946,44,"C",20,,""
2020,154415146,127829946,49,"C",20,,"F"
2020,154409866,127824406,14,"C",18,,""
2020,154415241,127830025,5,"C",20,,""
2020,154415265,127830052,27,"C",13,,""
2020,154409907,127830068,8,"C",20,,""
2020,154409898,127824440,51,"C",13,,""
2020,154409755,127824285,51,"C",46,,""
2020,154414960,127829779,16,"C",20,,""
2020,154414968,127824304,49,"C",20,,"F"
2020,154409778,127829790,2,"C",47,,""
2020,154415038,127829847,49,"C",20,,"N"
2020,154415062,127829876,23,"C",46,,""
2020,154409853,127829931,47,"C",20,,""
2020,154409917,127824457,14,"C",13,,""
2020,154415920,127825428,51,"C",14,,""
2020,154415921,127825428,15,"A",14,,""
2020,154415028,127824335,45,"C",11,,""
2020,154415072,127824359,49,"C",20,,"N"
2020,154414966,127829780,51,"C",20,,""
2020,154415079,127824370,14,"C",20,,""
2020,154415294,127830079,14,"C",20,,""
2020,154415301,127824460,14,"C",20,,""
2020,154415320,127830108,23,"C",8,,""
2020,154415908,127830669,63,"C",20,,""
2020,153553859,126996145,5,"C",20,,""
2020,153557094,127001139,51,"C",20,,""
2020,153553925,127001139,27,"C",20,,""
2020,154409806,127824332,49,"C",5,,"F"
2020,154415073,127824360,45,"C",16,,""
2020,153557034,126991087,5,"C",20,,""
2020,153553880,126991095,2,"C",20,,""
2020,153557113,126996223,16,"C",13,,""
2020,153557130,127001168,51,"C",22,,""
2020,153553992,126996268,5,"C",13,,""
2020,153557199,126996294,51,"C",13,,""
2020,153554045,126996325,27,"C",38,,""
2020,149216988,123346398,51,"C",20,,""
2020,153557056,127001104,2,"C",11,,""
2020,153557133,126996236,5,"C",20,,""
2020,153557140,127001175,45,"C",20,,""
2020,153554005,126996282,51,"C",20,,""
2020,153554015,127001223,45,"C",20,,""
2020,153557206,127001233,5,"C",13,,""
2020,153554038,127001240,21,"C",13,,""
2020,153557223,126996337,5,"C",5,,""
2020,153554089,127001268,5,"C",18,,""
2020,153554121,126996410,5,"C",18,,""
2020,153554129,127001301,5,"C",13,,""
2020,153553901,126996176,49,"C",20,,"F"
2020,153553910,127001129,49,"C",20,,"F"
2020,153557144,126996241,51,"C",13,,""
2020,153553980,127001203,16,"C",18,,""
2020,153554100,126996389,5,"C",20,,""
2020,153553922,127001136,47,"C",20,,""
2020,153553931,127001143,51,"C",20,,""
2020,153557096,127001143,5,"C",20,,""
2020,153557176,126996275,51,"C",46,,""
2020,153553872,126991084,5,"C",20,,""
2020,153557049,126991096,51,"C",15,,""
2020,149221642,123346498,45,"C",2,,""
2020,149217150,123346556,51,"C",20,,""
2020,149221756,123346609,45,"C",20,,""
2020,149221786,123346635,49,"C",36,,"F"
2020,149221787,123346635,28,"C",36,,""
2020,149221875,123346717,2,"C",20,,""
2020,153557008,126991065,2,"C",47,,""
2020,153557059,126996163,49,"C",20,,"N"
2020,153553912,126996190,47,"C",20,,""
2020,153557154,126996250,45,"C",21,,""
2020,153557161,126996257,16,"C",13,,""
2020,153557194,126996292,23,"C",46,,""
2020,153554024,127001229,63,"A",20,,""
2020,153557211,127001238,7,"C",18,,""
2020,153557249,126996375,35,"C",14,,""
2020,153554112,126996400,23,"A",7,,""
2020,149221954,123346804,45,"C",20,,""
2020,149221956,123346806,21,"C",13,,""
2020,149221997,123346843,16,"C",18,,""
2020,149222009,123346857,5,"C",20,,""
2020,149222019,123346867,51,"C",22,,""
2020,149222021,123346868,36,"C",20,,""
2020,149222025,123337716,5,"C",25,,""
2020,149222027,123346872,5,"C",5,,""
2020,149222029,123346873,5,"C",25,,""
2020,149217488,123346876,27,"C",20,,""
2020,149222035,123346880,11,"C",3,,""
2020,149222037,123346881,14,"C",18,,""
2020,149222036,123346881,5,"C",18,,""
2020,155696855,128961979,45,"C",7,,""
2020,155703120,128962599,51,"C",20,,""
2020,155697513,128962599,5,"C",20,,""
2020,155703109,128962599,27,"C",20,,""
2020,155698386,128963401,5,"C",20,,""
2020,155704520,128963522,49,"C",20,,"F"
2020,155698520,128963522,5,"C",20,,""
2020,155698675,128963688,7,"C",30,,""
2020,155704738,128963712,5,"C",18,,""
2020,155698714,128963735,16,"C",14,,""
2020,155698732,128963754,14,"C",20,,""
2020,155698761,128963782,45,"C",20,,""
2020,153557072,126996172,45,"C",20,,""
2020,155711426,128971502,27,"C",20,,""
2020,155698231,128963269,5,"C",20,,""
2020,155698230,128963269,27,"C",20,,""
2020,155704195,128963309,36,"C",20,,""
2020,155704358,128968514,5,"C",13,,""
2020,155698383,128963397,47,"C",20,,""
2020,155698445,128963461,14,"C",13,,""
2020,155704456,128963481,49,"C",20,,"F"
2020,155698534,128968689,23,"C",46,,""
2020,155698552,128968713,44,"C",20,,""
2020,155698564,128968736,5,"C",20,,""
2020,155698623,128963637,47,"C",14,,""
2020,155698733,128963756,45,"C",20,,""
2020,155698745,128963764,14,"C",20,,""
2020,155711422,128971497,23,"C",12,,""
2020,154415894,127825414,41,"C",47,,""
2020,154415928,127830684,16,"C",18,,""
2020,154415929,127830684,35,"C",18,,""
2020,150622400,124372813,5,"C",20,,""
2020,150626963,124376941,5,"C",13,,""
2020,150622768,124376982,45,"C",20,,""
2020,155698437,128963452,47,"C",20,,""
2020,155704493,128963505,23,"C",8,,""
2020,155704597,128963576,45,"C",20,,""
2020,155704627,128968752,45,"C",20,,""
2020,155698610,128963619,45,"C",20,,""
2020,155704656,128963621,16,"C",13,,""
