"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,148297494,29516823
2019,12,148287376,29516825
2019,3,148297545,29511844
2019,20,148298017,29511913
2019,20,148298073,29511920
2019,12,148287830,29511961
2019,20,136933530,25543187
2019,20,136933661,25543216
2019,20,136941592,25538806
2019,12,136946151,25543226
2019,18,136946221,25546815
2019,20,136936809,25546818
2019,12,136941687,25543242
2019,12,136936882,25543259
2019,18,136936882,25543260
2019,12,136941749,25538838
2019,12,136936896,25543265
2019,12,136941775,25538845
2019,20,137956010,25861467
2019,20,137956080,25855083
2019,20,137956081,25855084
2019,9,137959134,25863102
2019,3,137964492,25861587
2019,2,137964491,25861586
2019,12,137966554,25861589
2019,12,137964519,25855197
2019,12,137966733,25855223
2019,12,137959182,25863112
2019,12,137959225,25863118
2019,12,142137098,27586819
2019,12,142137097,27586818
2019,12,142137125,27586831
2019,12,142137440,27534160
2019,2,142137669,27586952
2019,12,142137703,27586958
2019,12,142132020,27586965
2019,12,142132041,27534168
2019,20,142131608,27534098
2019,20,142131627,27581661
2019,10,142136351,27581664
2019,12,142136352,27581666
2019,12,142136351,27581665
2019,20,142131633,27534099
2019,20,142136382,27581671
2019,20,142136479,27534107
2019,20,142131721,27581688
2019,20,142131731,27581701
2019,12,142050718,27582226
2019,20,142131741,27581714
2019,12,142136865,27534135
2019,12,142136926,27586787
2019,20,142136960,27586795
2019,20,142136587,27581723
2019,12,142136871,27586779
2019,20,142137019,27586804
2019,12,142137252,27586859
2019,20,142137315,27582253
2019,12,142137381,27586887
2019,12,142131971,27586891
2019,12,142137524,27586923
2019,12,142137550,27586934
2019,11,142137583,27586938
2019,19,142137683,27586955
2019,12,142137789,27586975
2019,12,138652916,26058743
2019,12,138656144,26054020
2019,12,138650656,26061858
2019,9,138653196,26058793
2019,12,138650663,26058794
2019,20,138650703,26061869
2019,12,138656436,26058819
2019,20,138656463,26061886
2019,20,138653375,26061890
2019,12,138653466,26058860
2019,12,138650950,26061935
2019,12,138650955,26061936
2019,12,138653577,26061971
2019,18,138653577,26061972
2019,12,138651108,26054162
2019,5,136946166,25543229
2019,12,136941735,25538834
2019,12,136941794,25543277
2019,12,136946351,25546847
2019,12,136946363,25543280
2019,12,136936966,25546852
2019,2,136946448,25543294
2019,2,136941857,25538857
2019,2,136946482,25543297
2019,12,138650902,26061924
2019,12,138656594,26058871
2019,18,138651005,26058874
2019,10,138653545,26058876
2019,12,138656725,26054160
2019,12,138661193,26061997
2019,12,138656847,26054183
2019,12,136909101,25531714
2019,20,136915317,25537710
2019,20,136933656,25546800
2019,18,136946442,25543293
2019,20,136905911,25537697
2019,18,136905940,25531712
2019,12,136905941,25537705
2019,20,136936701,25543202
2019,20,136933664,25546805
2019,12,142136824,27586770
2019,20,142137144,27586834
2019,9,142137250,27586858
2019,10,142137330,27586875
2019,20,138652877,26054004
2019,12,138652939,26061839
2019,20,138652971,26058755
2019,20,138653376,26054076
2019,3,138650828,26061899
2019,12,138650827,26061898
2019,20,142131807,27582242
2019,20,142137113,27586827
2019,20,142136810,27586766
2019,20,142137078,27586814
2019,19,142137164,27586838
2019,3,142137227,27586852
2019,3,142137226,27582248
2019,12,142137958,27586996
2019,12,142137995,27587005
2019,12,142138016,27587009
2019,20,142131604,27534097
2019,12,142136645,27581735
2019,20,142136659,27581738
2019,12,142137413,27534158
2019,12,142137477,27586908
2019,12,142137593,27586940
2019,12,142137612,27586945
2019,12,142137677,27586953
2019,3,142137717,27586961
2019,12,142137878,27586985
2019,12,141021032,27250671
2019,12,141021049,27252359
2019,12,141024587,27250679
2019,12,141021055,27252360
2019,12,141026417,27235105
2019,12,141021077,27252364
2019,12,141021080,27250681
2019,9,141026433,27250683
2019,12,141026436,27235108
2019,12,141021092,27252368
2019,12,141024615,27252369
2019,12,141021117,27252372
2019,12,141026456,27250689
2019,12,141031193,27252390
2019,19,141031262,27250705
2019,12,141031264,27252402
2019,9,141026536,27235129
2019,12,141026651,27235154
2019,12,141026665,27235156
2019,20,141024809,27250723
2019,4,141024881,27250735
2019,12,141031601,27250736
2019,20,141031642,27252459
2019,12,141026867,27235180
2019,6,141024926,27235183
2019,12,141024961,27250746
2019,20,141025022,27252469
2019,12,141027047,27235222
2019,18,141025198,27235233
2019,10,141031896,27252503
2019,3,141024514,27235082
2019,12,141026347,27235083
2019,12,141024524,27250663
2019,6,141024527,27250665
2019,12,141021024,27252350
2019,12,141024542,27250668
2019,18,141026369,27235090
2019,12,141026379,27235093
2019,12,141026394,27235097
2019,12,141024606,27250682
2019,12,141024625,27250687
2019,12,141024634,27250688
2019,12,141021150,27235112
2019,12,141021167,27235116
2019,12,141026473,27250695
2019,12,141031184,27252387
2019,12,141031198,27252392
2019,12,141024701,27252406
2019,12,141026618,27235147
2019,12,141026631,27235150
2019,12,141026635,27250712
2019,12,141026638,27235152
2019,12,141024777,27250719
2019,12,141031507,27252442
2019,12,141024851,27252449
2019,9,141024856,27252451
2019,12,141024879,27250734
2019,12,141031583,27252454
2019,12,141031644,27252460
2019,20,141026913,27235187
2019,20,141024987,27250752
2019,9,141024993,27250753
2019,20,141026951,27252463
2019,20,141031704,27252466
2019,20,141031719,27235200
2019,20,141025049,27250756
2019,20,141025062,27250758
2019,20,141027014,27235213
2019,20,141025079,27250763
2019,20,141027022,27250764
2019,20,141025089,27235215
2019,20,141027038,27235219
2019,20,141025111,27252481
2019,12,141025117,27250765
2019,12,141025129,27235226
2019,12,141025151,27250772
2019,20,141025154,27250773
2019,20,141031826,27252490
2019,20,141031830,27250779
2019,20,141025174,27250780
2019,20,141025177,27250782
2019,10,141025194,27250786
2019,10,141025202,27235235
2019,20,141025217,27250788
2019,20,141031859,27235243
2019,12,141025220,27250789
2019,20,141025225,27250791
2019,12,141025226,27252498
2019,20,141025237,27250792
2019,12,136936822,25546820
2019,12,136936881,25543258
2019,12,136946464,25543296
2019,12,136946466,25538860
2019,20,136941450,25538784
2019,12,136933622,25543206
2019,20,136933671,25538808
2019,20,136946237,25543244
2019,12,136941719,25543250
2019,12,136941724,25538829
2019,12,136946285,25543255
2019,12,136946318,25543269
2019,12,136941828,25543284
2019,12,136941856,25538856
2019,3,136915252,25531701
2019,12,136905899,25537694
2019,12,136905898,25537693
2019,10,136915310,25531713
2019,12,136936692,25538797
2019,20,136933651,25538801
2019,20,136941590,25543218
2019,20,136936747,25538809
2019,12,144195555,28187020
2019,12,144195573,28187026
2019,12,144179887,28171502
